Sr No~Title~Author~biblionumber
1~`l' is for lawless~Grafton, Sue~1648
18871~Pension provision in the ec~Harrison, Debbi~6531
18872~Pension reform and economic theory~Cesaratto, Sergio~3498
18873~Pension reform and public information in poland (sp discussion paper no0019)~Chlon, Agnieszka~11343
18874~Pension reform in britain (sp discussion paper no9810)~Whitehouse, Edward~10151
18875~Pension reform in India~Sadhak, H.~13890
18876~Pension reform, financial literacy and public information~Whitehouse, Edward~10878
18877~Pension regimes and saving (imf occasional papers no 153)~Mackenzie, G.A. [Et.al]~12425
18878~Pension right in welfare capitalism~Palme, Joakim~8641
18879~Pension scheme accounts~A.S.C.~2767
18880~Pension scheme accounts may 1986~Accounting Standard Committee~5376
18881~Pension security in the 21st century~Clark, Gordon L.~3981
18882~Pension strategiest: Vol. VIII, No. 2, 2003~Federated Press~24146
18883~Pension strategiest: Vol. VIII, No. 3, 2003~Federated Press~25265
18884~Pension strategiest: Vol. VIII, No. 5, 2003~Federated Press~24608
18885~Pension system in argentina~Rofman, Rafael~14581
18886~Pension system in singapore (sp discussion paper no.9919)~Asher, Mukul G.~1058
18887~Pension systems~Fornero, Elsa~2172
18888~Pension trends~Penneck, Pauline~1196
18889~Pension world       ~~33677
18890~Pensions~Patterson, J.A.~21202
18891~Pensions~Seres, J.S.D.~21203
18892~Pensions~Centre For Research In Insurance and Investment~21204
18893~Pensions administration fa2~CII~5276
18894~Pensions and profit sharing~~1447
18895~Pensions and retirement planning in asia~AIR~3306
18896~Pensions developments - focusing on the future! Two day conferences~Institute of Actuaries~17677
18897~Pensions funds and advisers 1986~Ap Information Services Limited~3270
18898~Pensions in 1986~Financial Times Conference~16948
18899~Pensions pocket book 1993~NTC Publications~16124
18900~Pensions pocket book 1997~NTC Publication~7294
18901~Pensions pocket book 1999~NTC Publications~6486
18902~Pensions pocket book 2002~NTC Publications~6350
18903~Pensions pocket book 2007~NTC Publications~6014
18904~Pensions terminology~Pension Mananagement Institute~11811
18905~People and competencies~Boulter, Nick and Others Eds.~5712
18906~People and lifestyle: CD06~~23326
18907~People and performance~Drucker, Peter~21357
18908~People at work~Gyllenhammar, Pehr G.~2704
18909~People before tech: the importance of psychological safety and teamwork in the digital age~Blomstrom, Duena ~34207
18910~People capability maturity model~Curtis, Bill~6491
18911~People empathy~Damer, Jack~22076
18912~People empowerment~Gozzo, M.W. [Et.al]~22181
18913~People in Danger~Pollock, Steve~23354
18914~People in organizations~Smith, N and Vigor, N~5650
18915~People management~Prakash Rao, G. Surya~19955
18916~People of India~Singh, K S~20585
18917~People of the lie~Scott Peck, M.~276
18918~People power~Noe John R.~18163
18919~People, communication and organisations~Evans Desmond W.~8838
18920~People, progress, partnership~Public Affairs Section~4782
18921~People, work, and organizations~Bass~9933
18922~People: India's Advantages~Singh, N.K.~24930
18923~People's skills for executives~Zenith Global Consultants Ltd.~25073
18924~Peorts of the commodity prices board~Sovani, N.V.~12744
18925~Perason guide to logical reasoning and data interpretation for the cat~Sinha, Nishit K.~18555
18926~Perceived inadequacies in gic's personal insurance schemes~Harikrishnan, K.~14467
18927~Perception~Sekuler, R. [Et.al]~319
18928~Perception of risk~Slovic, Paul~18647
18929~Perception of the middle and high income millennials about the need for pension and their retirement preparedness~NIA~25782
18930~Perestroika~Gorbachev, Mikhail~16588
18931~Perestroika christi~Hands, John~7989
18932~Perfect appraisal~Hudson, H.~21076
18933~Perfect assertiveness~Ferguson, J.~15748
18934~Perfect business plan~Johnson, R.~786
18935~Perfect career~Eggert, M~9561
18936~Perfect communications~Leigh, A. [Et.al]~10331
18937~Perfect counselling~Eggert, M.~18644
18938~Perfect customer care~Johns, T.~12873
18939~Perfect digestion~Chopra, Deepak~8061
18940~Perfect happiness~Billington, Rachel~17454
18941~Perfect health~Chopra, Deepak~13311
18942~Perfect interview~Eggert, M.~8780
18943~Perfect leader~Leigh, A. [Et.al]~15182
18944~Perfect murder ~Hitt, J. & Others~6437
18945~Perfect negotiation~Kennedy, G.~8057
18946~Perfect people skills~Acland, A.F.~7706
18947~Perfect presentation~Leigh, A. [Et.al]~22345
18948~Perfect soldier~Hurley, Graham~6290
18949~Perfect time management~Johns, T.~12325
18950~Performance~Modi, B.K.~5412
18951~Performance & credibility~WHOley, J.S~19741
18952~Performance appraisal~Harvard Business Library~4019
18953~Performance appraisal~Smither, J.W. Ed.~4020
18954~Performance appraisal and counselling~Ranganekar Asso.~23430
18955~Performance Appraisal and Counselling~~24830
18956~Performance appraisal in management~Williams, M.R.~20572
18957~Performance appraisal in public enterprises~Lakshipathy, V.~4186
18958~Performance appraisal onthe line~Devries David L. [Et.al]~8000
18959~Performance appraisal theory and practice~Rao, T.V.~1591
18960~Performance appraisals~Reddy, Sumati~15564
18961~Performance at work~Swanson, Richard A~13567
18962~Performance basics~Willmore, Joe~14547
18963~Performance budgeting~Munjal~21849
18964~Performance challenge~Gilley, J.W.~15679
18965~Performance coaching~Wilson, Carol~1855
18966~Performance dashboards~Eckerson, Wayne W., ~10369
18967~Performance driven crm~Brown, Stanley A.~14728
18968~Performance evaluation & budgeting in indian banks~Munial Satish~19803
18969~Performance evaluation of public enterprises~Sastry, K.S. [Et.al]~9710
18970~Performance management~Cardy, Robert L.~13260
18971~Performance management~Kohli, A.S.~13261
18972~Performance management~Chadha, Prem~13262
18973~Performance management~Williams, Richard S.~13263
18974~Performance management~Armstrong, Michael~13264
18975~Performance management~Armstrong, Michael~13265
18976~Performance management and appraisal systems~Rao, T.V.~180
18977~Performance management in a week~Baguley, Phil~21323
18978~Performance management in call centers~Ramani, V.V.~2083
18979~Performance management workbook~Brennan, E.J.~20449
18980~Performance planning analysis and review~Rao, T. V~4207
18981~Performance reviews ~Harvard Business Review Press~10636
18982~Performance tradition in India~Awasthi, Suresh~20029
18983~Performance without compromise~Knight, Charles F~17116
18984~Performance-based assessments~Wilson, P.F. [Et.al]~18372
18985~Performing cash flow testing for insurers~Actuarial Standards Board~20373
18986~Perl cgi programming~Strom, E.~9557
18987~Perl cookbook~Christiansen, Tom~1572
18988~Perl hacks~Conway, D.~6812
18989~Permanent health~Financial Times~2709
18990~Permanent health insurance~~20259
18991~Permanent health insurance~City Financial~20260
18992~Permanently failing organisations~Meyer, Marshall W~2513
18993~Permission marketing~Godin, S.~6547
18994~Pern Hollow Bedtime Favourites~Patience,John~22464
18995~Perpetuating the family business~Ward, John L.~7302
18996~Perry mason~Gardner, Erle Stanley~7794
18997~Perry's chemical engineer's handbook, 6th ~Perry, R. H.~9639
18998~Person-centerd counseling in action~Mearnis, Dave~823
18999~Personal accident and sickness insurance~FII~10759
19000~Personal accident and sickness isurance 73~Sri Ram and Co.~18345
19001~Personal accident tariff~Tariff Advisory Committee~5709
19002~Personal accident, life and other insurances~Ivamy, E.R.Hardy~10630
19003~Personal administraion~Pigors, Paul~2691
19004~Personal and interpersonal development~Krusell, Judith~7934
19005~Personal computer (pc) in decision making~Sane, Meena S.~21478
19006~Personal construct counselling in action~Fransella, Fay and [Et.al]~13495
19007~Personal financial planning~Gitman, L.J. [Et.al]~1841
19008~Personal financial planning~ICFAI~1842
19009~Personal general insurances underwriting and claims~CII~17916
19010~Personal growth and interpersonal effectiveness~Boregowda Ramu , Shyam~12580
19011~Personal human resource management~Heneman, Herbert, G.~407
19012~Personal human resource management~Leap, Terry~408
19013~Personal injury compensation~Pfennigstorf, W. Ed.~10026
19014~Personal injury litigation practice and precedents~Haas, Margaret R. De~10050
19015~Personal insurance~Rejda, George E.~14676
19016~Personal insurance~Hamilton, Karen L. [Et.al]~14677
19017~Personal insurance~Hallman, G.V. [Et.al]~14678
19018~Personal insurance (cii study course 760 )~Brear, Sue~10762
19019~Personal insurances~Easton, C. [Et.al]~6809
19020~Personal insurances~Easton, C. [Et.al]~6810
19021~Personal insurances~Easton, C. [Et.al]~6811
19022~Personal insurances - legal aspects and underwriting~Easton, C. [Et.al]~2671
19023~Personal insurances p86~CII~60
19024~Personal insurances p86~CII~61
19025~Personal intelligence~Mayer, John D.~297
19026~Personal investment & tax planning yearbook 1993-94~Yasaswy, N.J.~20178
19027~Personal investment & the financial services industry (cii study course 550)~Marshall, C.~13108
19028~Personal investment and tax planning yearbook~Yasaswy, N.J.~791
19029~Personal investment and tax planning yearbook~Yasaswy, N.J.~792
19030~Personal investment and tax planning yearbook~Yasaswy, N.J.~793
19031~Personal investment and tax planning yearbook~Yasaswy, N.J.~794
19032~Personal letters for business people~Bosticco, M.~2192
19033~Personal line insurance~Rana, Jagendra~10881
19034~Personal management ~Bottomley, Michael H.~6647
19035~Personal management and staff development ~Fuller, Colin~17864
19036~Personal management handbook~Mulligan, J.~4959
19037~Personal pensions revolution (special report no210 by leigh hop~Economist Intelligence Unit~1594
19038~Personal psychology~Baltus, Rita K.~1865
19039~Personal risk management and property-casualty insurance~Myhr Ann E.~2485
19040~Personal stress and health management~Kaila H.L~15208
19041~Personality and life style of young male managers~Rychlak, Joseph F.~17759
19042~Personality development~Hurlock, E.B.~931
19043~Personality development (Disc 1)~Buzzers~25488
19044~Personality development through psychotherapies~Kaila H.L~16695
19045~Personality psychology~Mcmartin, Jim~17050
19046~Personality theories - a comparative analysis~Maddi, S.R.~13914
19047~Personnel~Glueck, William~21975
19048~Personnel administraion and experimental skills- building approach~Beatty, R. W.~5391
19049~Personnel and human resources administration~Megginson, Leon C.~2440
19050~Personnel and industrial relations~Miner, John B.~11446
19051~Personnel effectiveness~Manpower Service Commission.~21599
19052~Personnel human resource management ~Mathis, Robert~6889
19053~Personnel management~Monappa, A. & Saiyadain Mirza S.~13314
19054~Personnel management~Harvard Business Review~13315
19055~Personnel management ~Harvard Business Review~13316
19056~Personnel management~Harvard Business Review~13317
19057~Personnel management~Kumar, Arun~13318
19058~Personnel management ~Byars and Rue~13319
19059~Personnel management~Flippo, Edvin B.~13320
19060~Personnel management (msng)~FII~8353
19061~Personnel management & industrial relations 7~Davar, Rustom S.~21711
19062~Personnel management and human resources~Ratnam, C.S.V. [Et.al]~16372
19063~Personnel management and human resources international student~Werther, William B. [Et.al]~201
19064~Personnel management and industrial relations~Shejwalkar, P.C. [Et.al]~21284
19065~Personnel management and industrial relations~Muniramappa, C.~21285
19066~Personnel management and industrial relations~Bhatia, S.K.~21286
19067~Personnel management and industrial relations~Yoder, Dale~21287
19068~Personnel management in banks~Menon, Pks~6641
19069~Personnel management proces human resources administration and development~French, Wendell L.~4474
19070~Personnel management, reaching organisational and human goals~Yaney, Josseph P.~4926
19071~Personnel mgt through cost and ratios~Gopal, J.~4263
19072~Personnel policies in banks~Kulkarni, S.S.~119
19073~Personnel the management of human resources~Robbins, Stephen P.~4919
19074~Personnel, the human problems of management~Strauss, George [Et.al]~9594
19075~Personnel, the management of people at work~Beach, Dale S.~2011
19076~Personnel/ human resource management~Leap, T.~11188
19077~Persons with disabilities~Arora, Krishan~3146
19078~Perspective~Wright, Barton~7314
19079~Perspective on current affairs~Lal, Sohan Ed.~14517
19080~Perspective on current affairs~~14518
19081~Perspective on current affairs~~14519
19082~Perspective on indian banking~Oriental Bank of Commerce~4233
19083~Perspective on strategic management ~Fredrickson, J~19482
19084~Perspectives in management of pay, perforamce & conflict~Mohandas~14340
19085~Perspectives on development~WB~3047
19086~Perspectives on industrial development in India~Sinha, N.K.P. [Et.al]~18035
19087~Perspectives on learning~Jones, Merrick.~7699
19088~Perspectives on new economic policy~Khan, M Basheer~12417
19089~Perspectives on personnel human resource and management~Henerman~7173
19090~Persuasion~O'keefe, D.J.~9519
19091~Persuasive proposals and presentations~Pierce, Heather~15090
19092~Persuasive reports and proposals~Leigh, A.~19829
19093~Persuit of wow~Peters, T.~11146
19094~Pert and cpm~Srinath, L.S.~941
19095~Peter drucker~Parkinson, C. Northcote~19304
19096~Peter norton's assembly language book for the ibm pc~Norton, P. [Et.al]~14295
19097~Peter norton's guide to unix~Norton, P. [Et.al]~10330
19098~Peter norton's inside the pc~Norton, P. [Et.al]~596
19099~Peter norton's introduction to computers~Norton, P.~11868
19100~Peter Norton's introduction to computers, edn.4~,, ,,~22619
19101~Peter Norton's introduction to computers, edn.4~Norton, Peter~22620
19102~Peter norton's maximizing windows nt server 4 ~Norton, Peter~22134
19103~Peter Pan~Barrie, James M.~24560
19104~Peter principle~Peter, L.J. [Et.al]~12103
19105~Peter's people and skein marvelous ideas~Peter, Laurence.~6956
19106~Petnyacha sohala प टण याचा स हळा~Kardale, Asha.~20565
19107~Petrochemical risks~Swiss Re~8159
19108~Petrodollar and it's impact on the world economy~Rajuk, V.K.~15310
19109~Petroleum act, 1934 (30 of 1934) along with the petroleum rules, 2002 as ammended by the petroleum (ammendment) rules, 2005 [bare act with short notes 2006]~Universal~4841
19110~Petroleum act, 1934 (30 of 1934) along with the petroleum rules, 2002 as ammended by the petroleum (ammendment) rules, 2007 [bare act with short comments 2010]~PBP~3767
19111~PGDM Lecture (19.1.2011) [1.45 min.]: DVD~Mehta, Sunil~23457
19112~PGDM Lecture by Mr.Nohria (DVD) 1.19 min.) dated 25.1.2011~Nohria~23156
19113~PGDM Lecture: Dr. Ramani - IIM (A)  (DVD)~Ramani~25568
19114~PGDM lecture: Dr.R.A. Mashelkar, F.R.S. Chairman, Reliance Innovation Council, Pune (Feb 16, 2011)~Mashelkar, R.A.~22902
19115~PGDM lecture: J.J. Irani,Directot, Tata Sons  (Feb 18, 2011)~Irani, J.J.~24226
19116~PGDM Lecture: Prof. T.P. Rama Rao - IIM (A)  (DVD)~Rama Rao, T.P.~25307
19117~Pgwodehouse~Wodehouse, P.G.~18697
19118~Phakta ekach karan ! फक त एकच कारण!~Kanetkar, Vasanta~3649
19119~Phantasi ek preyasi फ ण टसी एक प र यसी~Kale, Va. Pu.~1050
19120~Phantom Comics: Set of Four Books~Falks, Lee~23468
19121~Pharmaceutical industry in India and hungary~Felker, Greg and Others~15269
19122~Philosophical essays~Russell, Bertrand~14150
19123~Philosophies of India~Zimmer, Heinrich~3340
19124~Philosophy of psychology~O'donohue, W.~9726
19125~Philosophy of risk~Chicken, John C. and Posner, T.~4115
19126~Phir vahi chah~Chandra Krishna~18402
19127~Phirkya फिरक या~Gadgil, Gangadhar~3350
19128~Phoenix agenda~Whiteside, J.~1882
19129~Phoenix factor~Clutterbuck~22136
19130~Photoshop 6 in depth (CD-1)~Xenakis, David~23098
19131~Photoshop 6 in depth (CD-2)~Xenakis, David~22792
19132~Photoshop 6 in depth (with 2 cds)~Xenakis, David~10511
19133~Photoshop CS (Interactive CD-ROM): ignite your creativity~Pebbles~25263
19134~Photoshop elements 5~Carlson, Jeff~21695
19135~Php 6 and mysq 6 bible~Suehring, Steve~19015
19136~Php 6 and mysql 6 bibile~Suechring, Steve~2144
19137~Php and mysql for dummies~Valade, Janet~9430
19138~Php and mysql web development~Welling, Luke~4675
19139~Php cookbook~Sklar, David~209
19140~Php5 and mysql bible~Converse, Tim~1322
19141~Phrank bakachya saphari फ र ंक बकच या सफरी~Durve, Lalu~17343
19142~Phulala sugandh mathicha फुलाला सुगंध मातीचा~Harkare, Anuradha (Dr.)~327
19143~Phule vechita फुल व चिता~Mangeshkar, Lata~18173
19144~Phulpankhi फुलपंखी~Wad, Nishigandha~318
19145~Phulvel फुलव ल~Santa, Indira~17222
19146~Phulwa फुलवा~Dahanukar, Sharadini~20454
19147~Phulzade फुलझाड~Randhwa, M.S.~5279
19148~Physical control of risk~Wilkinson, Shaun~2338
19149~Physics of monsoons~Keshavamurty, R. N.~20721
19150~Phऒmilं ाऑkघara~Pai, Kiडorं Surendra~19836
19151~Pic microcontroller~Huang, Han-Way~20354
19152~PIC Microcontroller: an introduction to software and hardware interfacing~Huang, Han-Way~23362
19153~Picking the right people (15 Minutes)~BBC~22893
19154~Picnic and suchlike pandemonium~Durrell, Gerals~8084
19155~Pikpani पीकपाणी~Bhalerav, Indrajit.~12193
19156~Pillers of the earth~Follett, Ken~10802
19157~Pimpalpan पिंपळपान~Talawalkar, Smita~13060
19158~Pims principles~Buzzel, R.D. [Et.al]~9364
19159~Pinocchio~Collodi~23315
19160~Pinocchio~Collodi, Carlo~23316
19161~Pinsent manson's guide to insurance distribution~Long, Andrew~1178
19162~Pioneering climate solutions~Swiss Re~19556
19163~Pioneers~Cooper, J.F.~9439
19164~Pioneers in development~Meier, Gerald~5216
19165~Pita ki parachaiya~Vaid, Krishna Baladev~787
19166~Pitali darwaja पितळी दरवाजा~Bhende, Suhash.~22098
19167~Pitrurhun ~Murty, Sudha~5608
19168~Place called freedom~Follett, Ken.~5528
19169~Place of information technology in management and business education~Barta, Ben-Zion and Others Eds~16597
19170~Plain Tales from The Hills: Vol 1~Kipling, Rudyard~24941
19171~Plain Tales from The Hills: Vol 2~Kipling, Rudyard~24804
19172~Plain Tales from The Hills: Vol4~Kipling, Rudyard~22889
19173~Plain Tales from The Hills: Vol5~Kipling, Rudyard~24704
19174~Plain Tales from The Hills: Vol7~Kipling, Rudyard~23110
19175~Plain truth eka kartavyanishtha cbi adhikaryachya athvani [translated by madhan mordekar] द प ल न ट र थएक कर तव यनिष ठ सी बी आय अधिकार याच या आठवणी~Singh, Nirmal Kumar~14341
19176~Plain truths about investments~Basu Debashis~5202
19177~Plain truths about mutual funds~Basu, Debashis~21074
19178~Plain truths about mutual funds~Basu, Debashis~21075
19179~Plain truths about stock investing~Basu, Debashis~11208
19180~Plain, blunt man: the essential sardar vallabhbhai patel~Patel, Vallabhbhai ~34248
19181~Plains of passage~Auel, Jean M.~10937
19182~Plan 2000~Mooney [Et.al]~9495
19183~Plan 2100 for indian general insurnce industry~Samarth, R.D.~9465
19184~Planes 1: CD29~~23034
19185~Planes 2: CD30~~22604
19186~Planes: Investigate~Waite,Eric and Wademan,Spike~23709
19187~Planet earth~Emiliani, Cesare~8455
19188~Planned career~L.I.C. of India~14742
19189~Planning~Harvard Business Review~20991
19190~Planning~Harvard Business Review~20992
19191~Planning~Harvard Business Review~20993
19192~Planning & economic policy in India~Gadgil, D.R.~20729
19193~Planning and development in India~Dubey, K.N.~3971
19194~Planning and management of hydropower resources in India~Naidu, B.S.K.~14657
19195~Planning and managing a public relations campaign~Gregoy, Anne~6801
19196~Planning for developing a backward economy~Singh, Abhimanyu~19487
19197~Planning for human resource development~Mozina~12474
19198~Planning for improved enterprise performance~Abramson~2997
19199~Planning for integrated office systems~Henderson, Tapscott~20086
19200~Planning for retirement~~18158
19201~Planning for retirement needs~Tacchino, K.B. [Et.al]~6239
19202~Planning in commerical baunds~Bandyopadhay, R.~15136
19203~Planning in India~Kekhi, R.K.~15254
19204~Planning interview~LIC~25359
19205~Planning part V~Harvard Business Review~15560
19206~Planning process and public policy~Singh, Tarlock~13959
19207~Planning series~Harvard Business Review~11340
19208~Planning techniques and indian plans~Ghosh, Alak [Et.al]~8695
19209~Planning your career in a week~Hirsh, Wendy~15953
19210~Plannning and performance budgeting for divisional and branch of~Life Insurance Corp. of India~9850
19211~Platform number zero~Naidu, Amita~7660
19212~Platinum rule~Alessandra, Tony [Et.al]~10534
19213~Play and learn~Jain, Renu~12846
19214~Play and learn badminton~Narang, P.~7643
19215~Play and learn chess~Kumar, N.~16932
19216~Play and learn cricket~Jain, Rachna~17100
19217~Play and learn football~Kumar, N.~1961
19218~Play and learn games~Balayan, S.~8596
19219~Play and learn golf~Jain, D.~2912
19220~Play and learn indoor sports~Balayan, D.~2012
19221~Play and learn snooker and billiards~Jain, N.~18764
19222~Play and learn swimming~Jain, R.~19347
19223~Play and learn table tennis~Narang, P.~4949
19224~Play as exploratory learning~Reilly, M.~15818
19225~Play it safe~Munich Re~24583
19226~Play it safe 21 min., Damage without loss 13 min.~~23324
19227~Play to your strengths~Nalbantian, Haig R.~3108
19228~Play to your strengths-focus on what you do best and success ~Clifton, D.O. [Et.al]~3166
19229~Playing for keeps~Harmon, F.G.~8887
19230~Playing in the dark~Morrison, Toni~16515
19231~Playing it my way ~Tendulkar, Sachin~3275
19232~Playing to win~Martin, Roger L.~12934
19233~Playing to win~Lafley, A. G.(Alan, G.)~12935
19234~Plays for management training 'the xyz company' I l o management dev~Pukkila , Arvo~18488
19235~Playware~RU~23564
19236~Playware (April 2001)~CHIP~24179
19237~Playware (August 2001)~Digit~25357
19238~Playware (December 2001)~DIGIT~22826
19239~Playware (February 2002)~DIGIT~24863
19240~Playware (February 2003)~Digit~25159
19241~Playware (January 2002)~DIGIT~23874
19242~Playware (July 2001)~Digit~25003
19243~Playware (June 2001)~Digit~24020
19244~Playware (March 2001)~CHIP~23010
19245~Playware (November 2001)~Digit~24598
19246~Playware (September 2001)~Digit~24133
19247~Playware [April 2003]~Digit~25481
19248~Playware [April 2004]~Digit~24289
19249~Playware [August 2002]~Digit~22801
19250~Playware [August 2003]~Digit~22606
19251~Playware [December 2002]~Digit~23710
19252~Playware [February 2004]~Digit~22864
19253~Playware [January 2003]~Digit~24089
19254~Playware [January 2004]~Digit~23243
19255~Playware [July 2002]~Digit~22685
19256~Playware [July 2003]~Digit~22832
19257~Playware [July 2004]~Digit~25048
19258~Playware [June 2003]~Digit~24651
19259~Playware [March 2003]~Digit~23268
19260~Playware [March 2004]~Digit~23180
19261~Playware [May 2002]~Digit~23339
19262~Playware [May 2003]~Digit~23205
19263~Playware [May 2004]~Digit~22707
19264~Playware [November 2002]~Digit~23051
19265~Playware [November 2003]~Digit~25004
19266~Playware [October 2002]~Digit~23499
19267~Playware [October 2003]~Digit~23212
19268~Playware [September 2002]~Digit~25542
19269~Playware [September 2003]~Digit~23192
19270~Playware(October 2001)~Digit~25480
19271~Please don't shoot the messenger!~Goodman, Gary S.~15230
19272~Plek anandayatra (पु ल एक आनंदयात रा)~Bhurke Shyam~10302
19273~Plugged in ~Erickson, Tamara J.~2346
19274~Plum pie~Wodehouse, P.G.~20152
19275~Pmp~Heldman, Kim~19856
19276~PMP: Project management professional - study guide (with CD-ROM)~Heldman, Kim~24271
19277~Po~De Bono, E.~8358
19278~Pocket asia~Andrews, J.~20904
19279~Pocket book for labour statistics 1990~India Ministry of Labour~7436
19280~Pocket book of labor statistics 1989~~15883
19281~Pocket book of labour statistics 1981~Labour Bereau~21593
19282~Pocket data book 1992~Govt.Of India. Dept.Sci.Techno~10613
19283~Pocket director~Tricker, Bob~19597
19284~Pocket economist~Pennant-Rea, Rupert [Et.al]~15625
19285~Pocket finance~Economist~1778
19286~Pocket full of rye~Christie, Agatha~6056
19287~Pocket guide on energy efficiency in electrical systems~CIIH~6637
19288~Pocket guide on water management~CIIH~9890
19289~Pocket international business terms~Hindle, T.~1557
19290~Pocket investor~Ryland, Philip~803
19291~Pocket marketing~Hindle, Tim~18989
19292~Pocket world in figures~The Economist~16291
19293~Pocket world in figures~~16292
19294~Pocket world in figures 2005 ~The Economist~1245
19295~Poems by favorite poets in large print~Lewis, Lesle Ed.~15819
19296~Poet's club~Linklater, E.~5492
19297~PoinTech Interactive White Board~Plus Corporation~25197
19298~Points and lines ~Kamath, M.V.~46
19299~Poirot investigates~Christie, A.~15260
19300~Poison tree - three novellas transl by m maddern & sn mukherjee~Chatterjee, B.C.~19945
19301~Pokhila apaharnache 81 divas प खिला अपहरणाच ८१ दिवस~Bardekar, Vilas~15415
19302~Poland~Michener, J.A.~15491
19303~Polar shift~Cussler, Clive~1481
19304~Policies and perceptions of insurance law in the twenty-first century~Clarke, Malcolm~16005
19305~Policies and programmes for rural employment generation in asia~Apo~14955
19306~Policies for industrial progress in developing countries~Cody, John & Others~10954
19307~Policy analysis~Weimer, David L. and [Et.al]~12156
19308~Policy and health~Peabody, J.W. [Et.al]~6882
19309~Policy formulation and adminstration~Christensen, Berg~3937
19310~Policy holder insurance news     ~~33681
19311~Policy kit for insurance professionals 1993-94~~16263
19312~Policy kit for students of insurance~Alliance of American Insurers~3862
19313~Political economic management of India~Haksar~6567
19314~Political economy for the 21st century~Whalen, C.J. Ed.~8024
19315~Political economy of development~Kothari, Rajni~11854
19316~Political economy of hunger~Dreze, Jean~13649
19317~Political economy of hunger~Derze, Jean~13650
19318~Political economy of hunger v1 entitlement and well-being~Dreze, Jean~20751
19319~Political economy of industrialisation~Swamy, D.S.~11080
19320~Political economy of poverty eradication in India and essays on fiscal reforms~Chelliah, Raja J.~17216
19321~Political economy of reforms and liberalisation~Mahajan, V.S.Ed.~4321
19322~Political economy of reforms in India~Mukherji, Rahul~5228
19323~Political economy of supressed markets~Kamath, Shyam J~13097
19324~Political economy of the world trading system~Hoekman, Bernard M.~2413
19325~Political ideas of ms golwalkar-hindutva, nationalism, secular~Kohli, Ritu~20384
19326~Political marketing~Sarwate, Dilip M.~7491
19327~Political philosophy~Scruton, Roger~13281
19328~Politically correct bedtime stories~Garner, James F.~21786
19329~Politically correct holiday stories~Garner, James F.~10505
19330~Politics and economics of 'intermediate regimes'~Raj, K N~8683
19331~Politics of modern maharashtra~Sirsikar, V.M.~11776
19332~Politics of nuclear power~Mccaffrey, D.P.~3193
19333~Politics of rural development~Ray, C.N.~21054
19334~Politics of social rights~Kangas, Olli~14219
19335~Politics of world communication~Hamelink, C.J.~14371
19336~Politika~Clancy, Tom~21746
19337~Pollution control in industry~Iyer, K.V.~6945
19338~Pollution liability~All Industry Research Advisory Council~12903
19339~Pollution prevention and abatement handbook 1998~World Bank~18572
19340~Polycom Via Video~~23646
19341~Ponder awhile~Tejomayananda, Swami~16101
19342~Ponna ka abhishap पोन्ना का अभिशाप~Murugan, Perumal~3316
19343~Pookie and the Swallows~Wallace, Jby~25706
19344~Pool प ल~Chirmule, Sharadchandra Vasudev.~10021
19345~Pooled time series anlaysis~Sayrs, L.W.~17025
19346~Poona~Gokhale, B.G.~6698
19347~Poona company~Dhondy, Farrukh~3560
19348~Poor economics ~Banerjee, Abhijit V.~9232
19349~Poor richard 's low-cost web sites~Kent, Peter~15669
19350~Pooring of america~Batra, R.~14602
19351~Poornahooti~Khera, Bha.Da.~593
19352~Pope~Grant, Douglas~12108
19353~Pope francis among the wolves ~Politi, Marco~16298
19354~Popper~Magee, Bryan~22025
19355~Popti chaukat प पटी च कट~Pundalik, Vidyadhar~17141
19356~Population and disaster~Clarke, C.~5471
19357~Population and global security~Polunin, N.Ed.~9591
19358~Population and poverty in the developing countries~Livi-Bacci, M. [Et.al]~2849
19359~Population challenge~Raina, S.~21785
19360~Population economics~Ghosh, B.N.~7904
19361~Population growth and poverty in rural south asia~Rodgers, G. Ed.~14139
19362~Population of India~Bose, Ashish~2190
19363~Population of India 1991 census results and methodology~Bose, Ashish~1488
19364~Population profile~A.C.L.I.~11209
19365~Population structures and projections~Renn, D.F.~1595
19366~Population transition in India~Singh, S N~20413
19367~Population transition in India~Singh, S. N.~20414
19368~Population, economic development and the environment~Lindahl-Kiessling, K. [Et.al]~8184
19369~Population, gender and politics~Jeffery, Roger [Et.al]~18353
19370~Poratable dba~Freeman, Robert G.~1419
19371~Porke divas प रक दिवस~Khore, Arun~19102
19372~Port management~Das, Mihir~6766
19373~Portable elizabeth reader~Hayden, Hiram~8589
19374~Portable karl marx~Kamenka, E.Ed.~14740
19375~Portable mba in investment~Bernstein, Peter L.~8631
19376~Portable steinbeck~Covici, P.~14423
19377~Portables dickens~Willson, Angus~9402
19378~Portals~Prasuna, D.G.~22035
19379~Portfolio analysis and management~Bhalla, V.K.~1176
19380~Portfolio and investment management~Fabozzi, F.J.Ed.~6650
19381~Portfolio book of great indian business stories~Penguin Books (India)~321
19382~Portfolio insurance~Lusin, Donald Ed.~7356
19383~Portfolio management~Farrell, J.L. Jr.~17666
19384~Portfolio management~Jones, C.K.~17667
19385~Portfolio management formulas - mathematical trading methods~Vince, Ralph~1489
19386~Portfolio management handbook~Strong, R. A.~12316
19387~Portfolio management handbook~Strong, Robert A.~12317
19388~Portfolio selection~Markouitz, H.M.~1912
